Japanese,English,Reading
どうやら,possibly,どうやら
どう致しまして,you're welcome,どういたしまして
ドキッと,being startled,ドキッと
ドキドキ,thump-thump,ドキドキ
ドッキリ,feeling startled,ドッキリ
何処其処,such-and-such a place,どこそこ
何処でも,anywhere,どこでも
どしどし,rapidly,どしどし
ドジ,blunder,ドジ
どすこい,dosukoi! (sumo chant),どすこい
ドタバタ,noisily (running around),ドタバタ
何方へ,where to?,どちらへ
何方も,both,どちらも
どちら様,who,どちらさま
どっこい,heigh-ho,どっこい
何方付かず,noncommittal,どっちつかず
どっと,bursting out (laughter),どっと
何方でも,anyone,どなたでも
どの様,what sort,どのよう
どの位,how long,どのくらい
どの場合にも,in any case,どのばあいにも
どやどや,sound of many footsteps,どやどや
響めき,commotion,どよめき
何れ,which (of three or more),どれ
何れでも,any one,どれでも
泥々,thick,どろどろ
どんどん,drumming (noise),どんどん
どんな,what kind of,どんな
どんなに,how,どんなに
どん底,very bottom,どんぞこ
なあなあ,compromise,なあなあ
ない交ぜにする,to blend (e.g. fact and fiction),ないまぜにする
なおこ,"long thin brown ""naoko"" mushroom",なおこ
等閑,neglect,なおざり
無けなし,what little ... one has,なけなし
何故なら,because,なぜなら
何故ならば,because,なぜならば
憖,thoughtlessly,なまじ
憖い,thoughtlessly,なまじい
憖っか,thoughtlessly,なまじっか
なよなよ,delicately,なよなよ
なら,if,なら
ならでは,distinctive of,ならでは
なんか,something like ...,なんか
何じゃそりゃ,what's that?,なんじゃそりゃ
何にしても,even so,なんにしても
にいにい蝉,Kaempfer cicada (Platypleura kaempferi),にいにいぜみ
に於いて,in,において
に於ける,in,における
和やか,smiling,にこやか
にちゃにちゃ,slimy,にちゃにちゃ
に取って,to,にとって
にも,also,にも
ニヤニヤ,grinning,ニヤニヤ
にょろにょろ,slitheringly,にょろにょろ
に因って,according to,によって
によって異なる,to differ depending on ...,によってことなる
に依る,by means of,による
に依ると,according to (someone),によると
に拠れば,according to (someone),によれば
に応じて,depending on,におうじて
に加え,in addition,にくわえ
に加えて,in addition,にくわえて
に過ぎない,no more than,にすぎない
に関して,related to,にかんして
に基づいて,based on,にもとづいて
に似て,similar to,ににて
に就いて,concerning,について
に照らして,in comparison with,にてらして
に対して,towards,にたいして
に対する,regarding,にたいする
に当たって,on the occasion of,にあたって
に反して,against,にはんして
に比べ,compared to,にくらべ
に付き,because of,につき
ぬらぬら,slimy,ぬらぬら
ヌルヌル,slimy,ヌルヌル
ねじ回し,screwdriver,ねじまわし
ねた,"material (for a story, article, etc.)",ねた
ネチネチ,sticky,ネチネチ
のこのこ,unconcernedly,のこのこ
のそのそ,(move) slowly (e.g. walk),のそのそ
のぞみ,Nozomi,のぞみ
の度に,on the occasion of,のたびに
ので,that being the case,ので
のに,although,のに
のみ,only,のみ
のみならず,not only ... (but also),のみならず
のめり込む,to be completely absorbed in,のめりこむ
のめる,to fall forward (of a person),のめる
の様に,like,のように
のろのろ,slowly,のろのろ
のんびり,at leisure,のんびり
はい,yes,はい
はきはき,briskly,はきはき
ハクション,achoo,ハクション
はぐる,to roll up (e.g. sleeves),はぐる
逸る,to stray from,はぐる
将又,or,はたまた
はた迷惑,nuisance to other people,はためいわく
はちきん,strong independent Japanese woman from the Kochi area,はちきん
はっきり,clearly,はっきり
はったり,bluff,はったり
はっと,with a start,はっと
はにかみ屋,bashful person,はにかみや
含羞む,to be shy,はにかむ
蔓延る,to become overgrown,はびこる
はめ倒す,to make love,はめたおす
半片,pounded fish cake,はんぺん
許り,only,ばかり
許りに,(simply) because,ばかりに
ばさばさ,rustling,ばさばさ
バッチリ,perfectly,バッチリ
罰一,being once divorced,ばついち
バテる,to be exhausted,バテる
糞,shit,ばば
バラバラ,scattered,バラバラ
ばら荷,bulk goods,ばらに
バリバリ,"vigorously (ripping, tearing, scratching, etc.)",バリバリ
ばれる,to leak out (of a secret),ばれる
パイオツ,tits,パイオツ
パイ擦り,breast fucking,パイずり
ぱくぱく,repeatedly opening and closing (one's mouth),ぱくぱく
ぱちくり,blinking (in surprise),ぱちくり
ぱちっ,snapping (e.g. fingers) sound,ぱちっ
ぱくり,"gaping (e.g. mouth, wound)",ぱくり
ぱっちり,wide open (of eyes),ぱっちり
パッと,suddenly,パッと
パリパリ,crispy,パリパリ
パンパン,kapow,パンパン
延いては,by extension,ひいては
ひかり,Hikari,ひかり
ひくひく,twitching,ひくひく
犇犇,acutely (feel),ひしひし
犇めき,clamour,ひしめき
ヒソヒソ,in a whisper,ヒソヒソ
只管,intently,ひたすら
直向き,earnest,ひたむき
ひっそり,quiet (place),ひっそり
引ったくり,purse snatching,ひったくり
罅,crack,ひび
ひょいと,suddenly,ひょいと
ひょこひょこ,unsteady steps,ひょこひょこ
ひょっこり,all of a sudden,ひょっこり
ひょっと,possibly,ひょっと
ひょっとすると,perhaps,ひょっとすると
ひょろひょろ,totteringly,ひょろひょろ
ひょろり,tall and thin,ひょろり
ひらひら,fluttering,ひらひら
ヒリヒリ,stinging (pain),ヒリヒリ
冷んやり,cool,ひんやり
ひ弱い,weak,ひよわい
びくともしない,unperturbed,びくともしない
ビクビク,being afraid of,ビクビク
びしびし,stickily,びしびし
びしょびしょ,soaked,びしょびしょ
びっしょり,wet through,びっしょり
びっしり,"closely (packed, lined up, etc.)",びっしり
びらびら,fluttering (esp. of thick or heavy material),びらびら
ビリ,last (on the list),ビリ
ビリビリ,(tear) to pieces,ビリビリ
びんた,slap in the face,びんた
ピカピカ,with a glitter,ピカピカ
ピカピカ光る,to sparkle,ピカピカひかる
ピクピク動く,to jerk,ピクピクうごく
ピクリ,with a twitch (e.g. an eyebrow),ピクリ
ピシッと,with a crack,ピシッと
ぴしゃり,slapping,ぴしゃり
ぴちぴち,bursting with youth and energy (esp. young woman),ぴちぴち
ぴったり,tightly,ぴったり
ぴょんぴょん,hopping,ぴょんぴょん
ピヨピヨ鳴く,to peep,ピヨピヨなく
ぴりっとくる,pungent,ぴりっとくる
ピリピリ,with a sting,ピリピリ
ぴんぴん,lively,ぴんぴん
フーフー,blowing repeatedly (e.g. to cool something down),フーフー
吹かす,"to smoke (a cigarette, pipe, etc.)",ふかす
袱紗,small silk wrapper,ふくさ
膨よか,plump,ふくよか
ふしだら,loose,ふしだら
吹っ切れる,to break through (e.g. one's doubts),ふっきれる
太々しい,impudent,ふてぶてしい
ふにゃふにゃ,limpness,ふにゃふにゃ
ふらっと,aimlessly,ふらっと
ふらふら,unsteadily (e.g. on one's feet),ふらふら
ふらり,aimlessly,ふらり
ふわっと,floatingly,ふわっと
ふわり,softly,ふわり
ふんだん,plentiful,ふんだん
ふんなんに,in plenty,ふんなんに
ブウブウ,bugling (sound),ブウブウ
ぶかぶか,too large (clothing),ぶかぶか
ぶくぶく,bulging,ぶくぶく
ぶち撒ける,to dump (e.g. onto the floor),ぶちまける
ぶっきら棒,curt,ぶっきらぼう
ぶっ通し,continuous,ぶっとおし
ぶつかる,to bump into,ぶつかる
打ち付ける,to nail (to something),うちつける
ぶつぶつ,grunt,ぶつぶつ
ブヨブヨ,soft and flabby,ブヨブヨ
ぶらつく,to stroll about,ぶらつく
ぶらぶら,dangling,ぶらぶら
ぶら下がる,to hang down (from),ぶらさがる
ぶら下げる,to hang,ぶらさげる
ぶるぶる,"trembling (with fear, anger, etc.)",ぶるぶる
ぶれ,camera shake,ぶれ
ぶれる,"to be blurred (due to motion; of a photo, video, etc.)",ぶれる
凹たれる,to lose heart,へこたれる
蔕,calyx,へた
へたばる,to be exhausted,へたばる
ヘトヘト,completely exhausted,ヘトヘト
へなへな,weakly,へなへな
へばり付く,to cling to,へばりつく
へばる,to be exhausted,へばる
へべれけ,dead drunk,へべれけ
へぼ,bungler,へぼ
へぼ医者,quack doctor,へぼいしゃ
ヘマ,blunder,ヘマ
ヘラヘラ,(laughing) foolishly,ヘラヘラ
可き,should,べき
ベタベタ,sticky,ベタベタ
べたんこ,squished flat,べたんこ
べちゃべちゃ,chattering,べちゃべちゃ
べちゃんこ,squished flat,べちゃんこ
べったり,sticking,べったり
ベトベト,sticky,ベトベト
べらべら,non-stop talking,べらべら
べらんめえ,bloody fool!,べらんめえ
ベロベロ舐める,to lick something up,ベロベロなめる
ペコペコ,very hungry,ペコペコ
ペチャパイ,flat chest,ペチャパイ
ぺてん,fraud,ぺてん
ペテン師,swindler,ペテンし
ペラペラ,fluently (speaking a foreign language),ペラペラ
ほかほか,comfortably warm,ほかほか
ほくほく,"soft and flaky (pie, potatoes, squash, etc.)",ほくほく
ほざく,to say,ほざく
穂紫蘇,inflorescence of shiso (used as a sashimi garnish),ほじそ
ほそぼそ話す,to speak slowly and quietly,ほそぼそはなす
𩸽,arabesque greenling (Pleurogrammus azonus),ほっけ
ほっと,with a feeling of relief,ほっと
ほとんどの人,almost everyone,ほとんどのひと
程々,moderate,ほどほど
仄々,dimly,ほのぼの
ほやほや,hot (e.g. from the oven),ほやほや
ほら,look!,ほら
ほろほろ,by ones and twos,ほろほろ
ほろり,being moved (to tears),ほろり
本の,mere,ほんの
ほんのり,slightly,ほんのり
ぼーっと,in a daze,ぼーっと
惚け,fool,ぼけ
ボサボサ,"ruffled (hair, brush bristles, etc.)",ボサボサ
ぼちぼち,leisurely,ぼちぼち
ぼちゃん,splash,ぼちゃん
ぼっ手繰り,rip-off,ぼったくり
ぼつぼつ,gradually,ぼつぼつ
ぼやく,to grumble,ぼやく
ぼやける,to become dim,ぼやける
ぼりぼり,munching,ぼりぼり
ぼりぼり食べる,to eat with a munching or crunching sound,ぼりぼりたべる
ぼろい,lucrative,ぼろい
ボロボロ,worn-out,ボロボロ
ボロ布,old cloth,ぼろきれ
ぼんやり,dimly,ぼんやり
ぽかぽか,pleasantly warm,ぽかぽか
ぽかん,vacantly,ぽかん
ポコチン,willy,ポコチン
ポタポタ,dripping,ポタポタ
ポタポタ落ちる,to fall in drops,ポタポタおちる
ぽちゃぽちゃ,splashing (water),ぽちゃぽちゃ
ぽっきり,snappingly,ぽっきり
ぽってり,plump,ぽってり
ポツポツ,dots,ポツポツ
ぽろぽろ,in large drops,ぽろぽろ
ポン引き,tout,ポンびき
まあ,"just (e.g. ""just wait here"")",まあ
まあね,"well, I must admit ...",まあね
まあまあ,so-so,まあまあ
まくり上げる,to tuck (e.g. sleeves),まくりあげる
間誤付かせる,to fluster,まごつかせる
間誤付く,to be confused,まごつく
まごまご,confused,まごまご
まざまざ,vividly,まざまざ
まじまじと見る,to take a long hard look at,まじまじとみる
まず隗より始めよ,start with the first step,まずかいよりはじめよ
まっ四角,square,まっしかく
迄に,by,までに
儘ならぬ,unable to do (as one wishes),ままならぬ
儘ならない,unable to do (as one wishes),ままならない
